,DATE,State,HPI
0,11975,AL,75.22
1,41975,AL,72.22
2,71975,AL,74.62
3,101975,AL,71.7
4,11976,AL,77.1
5,41976,AL,74.22
6,71976,AL,76.97
7,101976,AL,79.7
8,11977,AL,81.22
9,41977,AL,83.7
10,71977,AL,88.35
11,101977,AL,89.16
12,11978,AL,88.61
13,41978,AL,88.49
14,71978,AL,96.67
15,101978,AL,96.29
16,11979,AL,99.45
17,41979,AL,100.22
18,71979,AL,101.77
19,101979,AL,107.83
20,11980,AL,100.0
21,41980,AL,103.0
22,71980,AL,109.89
23,101980,AL,108.89
24,11981,AL,105.44
25,41981,AL,109.02
26,71981,AL,112.34
27,101981,AL,106.67
28,11982,AL,109.13
29,41982,AL,107.02
30,71982,AL,107.63
31,101982,AL,115.5
32,11983,AL,114.61
33,41983,AL,114.47
34,71983,AL,116.81
35,101983,AL,113.77
36,11984,AL,123.5
37,41984,AL,120.17
38,71984,AL,124.81
39,101984,AL,121.23
40,11985,AL,121.37
41,41985,AL,124.58
42,71985,AL,127.33
43,101985,AL,128.22
44,11986,AL,129.49
45,41986,AL,131.86
46,71986,AL,133.33
47,101986,AL,135.93
48,11987,AL,138.05
49,41987,AL,139.1
50,71987,AL,139.67
51,101987,AL,138.32
52,11988,AL,141.98
53,41988,AL,143.09
54,71988,AL,142.69
55,101988,AL,141.27
56,11989,AL,141.49
57,41989,AL,143.36
58,71989,AL,145.52
59,101989,AL,146.58
60,11990,AL,145.48
61,41990,AL,146.67
62,71990,AL,147.27
63,101990,AL,147.43
64,11991,AL,148.71
65,41991,AL,150.9
66,71991,AL,151.76
67,101991,AL,154.21
68,11992,AL,155.47
69,41992,AL,155.63
70,71992,AL,158.59
71,101992,AL,159.94
72,11993,AL,161.01
73,41993,AL,162.75
74,71993,AL,165.66
75,101993,AL,167.11
76,11994,AL,168.2
77,41994,AL,170.25
78,71994,AL,170.95
79,101994,AL,171.04
80,11995,AL,172.64
81,41995,AL,176.09
82,71995,AL,178.87
