,DATE,UNEmpRate
0,11948.0,3.4
1,21948.0,3.8
2,31948.0,4.0
3,41948.0,3.9
4,51948.0,3.5
5,61948.0,3.6
6,71948.0,3.6
7,81948.0,3.9
8,91948.0,3.8
9,101948.0,3.7
10,111948.0,3.8
11,121948.0,4.0
12,11949.0,4.3
13,21949.0,4.7
14,31949.0,5.0
15,41949.0,5.3
16,51949.0,6.1
17,61949.0,6.2
18,71949.0,6.7
19,81949.0,6.8
20,91949.0,6.6
21,101949.0,7.9
22,111949.0,6.4
23,121949.0,6.6
24,11950.0,6.5
25,21950.0,6.4
26,31950.0,6.3
27,41950.0,5.8
28,51950.0,5.5
29,61950.0,5.4
30,71950.0,5.0
31,81950.0,4.5
32,91950.0,4.4
33,101950.0,4.2
34,111950.0,4.2
35,121950.0,4.3
36,11951.0,3.7
37,21951.0,3.4
38,31951.0,3.4
39,41951.0,3.1
40,51951.0,3.0
41,61951.0,3.2
42,71951.0,3.1
43,81951.0,3.1
44,91951.0,3.3
45,101951.0,3.5
46,111951.0,3.5
47,121951.0,3.1
48,11952.0,3.2
49,21952.0,3.1
50,31952.0,2.9
51,41952.0,2.9
52,51952.0,3.0
53,61952.0,3.0
54,71952.0,3.2
55,81952.0,3.4
56,91952.0,3.1
57,101952.0,3.0
58,111952.0,2.8
59,121952.0,2.7
60,11953.0,2.9
61,21953.0,2.6
62,31953.0,2.6
63,41953.0,2.7
64,51953.0,2.5
65,61953.0,2.5
66,71953.0,2.6
67,81953.0,2.7
68,91953.0,2.9
69,101953.0,3.1
70,111953.0,3.5
71,121953.0,4.5
72,11954.0,4.9
73,21954.0,5.2
74,31954.0,5.7
75,41954.0,5.9
76,51954.0,5.9
77,61954.0,5.6
78,71954.0,5.8
79,81954.0,6.0
80,91954.0,6.1
81,101954.0,5.7
82,111954.0,5.3
83,121954.0,5.0
84,11955.0,4.9
85,21955.0,4.7
86,31955.0,4.6
87,41955.0,4.7
88,51955.0,4.3
89,61955.0,4.2
90,71955.0,4.0
91,81955.0,4.2
92,91955.0,4.1
93,101955.0,4.3
94,111955.0,4.2
