DATE,ALSTHPI,ARSTHPI,AZSTHPI,CASTHPI,COSTHPI,CTSTHPI,DCSTHPI,DESTHPI,FLSTHPI,GASTHPI,HISTHPI,IASTHPI,IDSTHPI,ILSTHPI,INSTHPI,KSSTHPI,KYSTHPI,LASTHPI,MASTHPI,MDSTHPI,MESTHPI,MISTHPI,MNSTHPI,MOSTHPI,MSSTHPI,MTSTHPI,NCSTHPI,NDSTHPI,NESTHPI,NHSTHPI,NJSTHPI,NMSTHPI,NVSTHPI,NYSTHPI,OHSTHPI,OKSTHPI,ORSTHPI,PASTHPI,RISTHPI,SCSTHPI,SDSTHPI,TNSTHPI,TXSTHPI,UTSTHPI,VASTHPI,VTSTHPI,WASTHPI,WISTHPI,WVSTHPI,WYSTHPI
1975-01-01,75.22,66.55,60.51,41.69,54.41,62.21,47.85,77.03,65.93,73.91,65.73,59.33,70.06,66.59,66.22,61.99,64.14,51.68,67.88,61.89,60.82,60.20,56.02,65.42,75.10,57.05,66.02,67.55,63.60,71.67,64.32,56.80,53.16,78.48,65.05,52.01,51.20,70.67,61.34,75.28,74.98,68.01,55.82,55.15,69.75,77.37,46.26,61.77,50.45,49.59
1975-04-01,72.22,60.23,59.82,42.75,54.85,62.72,47.60,89.61,83.46,71.86,53.51,63.40,65.09,62.20,60.86,62.31,65.68,55.08,66.21,62.36,88.28,62.61,56.02,73.72,72.08,57.01,67.11,59.66,62.73,62.33,59.29,58.17,21.68,75.81,64.81,53.28,51.12,69.54,65.97,69.71,70.42,68.82,58.59,58.7,66.78,76.93,47.25,62.79,65.55,47.87
1975-07-01,74.62,64.93,59.36,44.32,54.81,61.80,47.32,115.70,66.80,74.26,57.08,63.37,56.77,64.06,62.11,63.29,66.85,52.82,67.15,65.13,68.41,63.29,58.22,65.59,72.43,59.31,69.07,65.90,61.40,61.61,60.10,59.21,54.23,77.74,64.45,52.82,54.17,74.10,64.79,72.20,65,67.75,56.15,55.17,67.53,67.12,49.72,64.48,66.4,50.11
1975-10-01,71.70,62.81,56.24,45.76,55.00,61.81,54.69,71.67,68.20,73.80,55.04,65.17,61.98,66.65,63.39,64.58,68.43,55.60,70.56,67.05,71.15,62.34,60.09,65.18,73.10,58.21,70.58,62.91,67.86,54.46,62.81,55.75,50.63,79.63,65.97,54.54,53.27,71.79,67.26,69.95,63.85,70.93,59.32,59.91,67.77,72.88,48.06,69.05,66.92,53.53
1976-01-01,77.10,66.91,58.93,47.80,55.10,64.74,53.10,79.54,67.97,71.44,53.46,67.54,56.40,67.79,62.52,66.56,69.67,58.72,67.40,67.35,55.77,62.86,63.04,67.24,73.29,59.54,68.63,74.71,67.35,74.66,62.79,59.76,59.84,73.07,66.57,54.61,57.28,72.65,66.07,71.07,62.85,70.3,58.46,61.8,69.37,117.03,50.36,65.49,61.75,54.31
1976-04-01,74.22,68.58,63.07,50.27,59.93,64.11,53.01,84.42,76.03,73.04,56.50,70.15,73.46,70.31,65.86,67.30,68.63,58.77,69.01,69.87,70.02,64.13,62.53,77.58,74.60,65.13,69.95,72.46,67.67,62.70,63.85,61.42,56.78,74.86,68.69,60.99,56.90,76.62,68.74,77.08,67.62,68.64,63.56,61.67,68.57,57.52,53.62,65.42,68.72,55.29
1976-07-01,76.97,71.03,61.01,53.58,59.59,67.19,59.16,80.40,69.04,79.03,54.55,73.96,64.25,73.43,65.86,68.53,69.02,58.14,68.65,70.66,83.57,64.38,63.15,69.43,71.85,64.38,70.69,71.08,68.12,64.99,65.88,63.86,61.02,75.66,71.08,59.32,60.07,77.30,69.94,76.80,68.8,71.49,63.3,64.88,70.62,81.22,56.63,67.56,69.98,58.39
1976-10-01,79.70,72.13,61.72,55.58,62.11,67.90,57.65,86.84,70.26,78.36,56.28,70.92,58.96,73.18,68.79,70.44,69.29,61.65,70.16,71.76,70.62,65.72,64.62,69.25,83.14,65.34,70.77,72.49,70.30,69.65,62.21,65.55,61.94,73.94,72.41,62.31,63.57,75.04,69.69,75.58,66.6,71.57,63.04,64.38,71.98,79.59,57.78,68.46,63.37,63.08
1977-01-01,81.22,72.76,63.51,58.01,64.98,63.99,59.70,89.84,70.98,76.82,55.85,76.11,73.02,80.29,71.54,72.66,69.92,62.84,72.46,72.20,74.59,67.37,66.82,71.45,75.36,66.05,75.07,81.73,72.22,71.81,65.12,70.25,63.51,77.72,73.17,64.22,67.17,74.61,69.28,75.89,62.71,74.78,65.93,69.84,73.01,115.09,59.75,72.88,69.28,63.26
1977-04-01,83.70,74.80,63.85,63.00,65.50,68.53,63.99,77.81,78.97,76.25,58.72,78.09,82.98,83.78,71.32,75.84,73.44,65.12,70.14,73.54,80.80,68.15,69.01,81.44,77.34,71.50,74.13,84.94,74.11,65.88,65.35,69.94,54.51,83.00,75.29,63.76,68.99,80.24,72.09,79.03,70.53,77.66,71.54,70.98,75.09,82.28,62.94,76.12,85.56,64.65
1977-07-01,88.35,78.09,66.13,67.95,69.01,71.47,66.90,82.43,72.58,78.71,60.64,79.73,76.89,83.23,74.19,77.36,76.49,62.66,73.75,76.77,81.55,71.30,73.13,77.56,78.18,76.78,76.73,79.47,78.38,68.90,67.42,73.03,71.18,82.56,78.90,68.11,74.12,80.84,75.29,81.32,79.44,78.16,69.38,74.7,77.27,76.28,67.3,78.05,73.81,67.05
1977-10-01,89.16,80.87,69.99,70.68,72.97,72.25,72.30,82.69,74.76,78.62,62.52,83.02,82.96,88.77,78.22,79.68,78.55,68.42,73.32,77.12,86.59,72.68,75.03,80.33,85.97,79.59,81.29,77.70,80.03,75.70,69.48,76.26,55.66,84.72,81.19,69.84,78.13,83.46,77.20,82.88,81.48,79.59,73.47,75.08,78.92,77.12,70.82,80.96,85.94,71.12
1978-01-01,88.61,80.75,71.32,73.21,76.05,73.68,69.34,85.17,78.33,84.16,65.55,85.41,92.34,90.93,82.43,82.37,81.55,73.03,78.16,81.93,82.57,75.67,76.55,82.60,86.28,90.50,82.99,87.69,78.77,75.45,71.16,76.83,72.27,83.38,83.25,71.85,79.88,83.96,80.19,82.30,77.07,84.58,76.62,81.55,80.39,90.78,74.35,84.68,85.05,72.94
